5000,100,1,1,2.03,4.1093e+01
5000,1,1,1,50.38,1.6549e+00
5000,10,1,1,5.68,1.4690e+01
8000,100,1,1,8.22,4.1527e+01
8000,1,1,1,214.75,1.5899e+00
8000,10,1,1,25.07,1.3619e+01
10000,100,1,1,15.99,4.1705e+01
10000,1,1,1,417.20,1.5983e+00
10000,10,1,1,46.76,1.4259e+01
12000,100,1,1,27.29,4.2215e+01
12000,1,1,1,671.49,1.7159e+00
12000,10,1,1,60.65,1.8999e+01
16000,100,1,1,60.22,4.5352e+01
16000,1,1,1,1366.20,1.9990e+00
16000,10,1,1,147.64,1.8499e+01
1000,100,1,1,0.02,3.5653e+01
1000,1,1,1,0.14,4.7728e+00
1000,10,1,1,0.02,2.6728e+01
2000,100,1,1,0.13,4.2131e+01
2000,1,1,1,1.11,4.8298e+00
2000,10,1,1,0.18,2.9971e+01
25000,100,5,5,14.33,7.2703e+02
35000,100,5,5,37.72,7.5778e+02
30000,100,5,5,24.44,7.3670e+02
40000,100,5,5,55.30,7.7164e+02
45000,100,5,5,81.41,7.4623e+02
50000,100,5,5,111.16,7.4968e+02
60000,100,5,5,189.00,7.6192e+02
70000,100,5,5,296.87,7.7029e+02
80000,100,5,5,435.62,7.8358e+02
90000,100,5,5,621.68,7.8177e+02
5000,100,5,5,0.23,3.5746e+02
8000,100,5,5,0.68,4.9969e+02
10000,100,5,5,1.22,5.4761e+02
12500,100,5,5,2.15,6.0534e+02
15000,100,5,5,3.52,6.3918e+02
20000,100,5,5,7.73,6.9018e+02
30000,100,5,5,24.30,7.4092e+02
10000,80,5,5,1.31,5.0764e+02
10000,100,5,5,1.22,5.4637e+02
10000,120,5,5,1.20,5.5704e+02
10000,160,5,5,1.21,5.5106e+02
10000,180,5,5,1.24,5.3596e+02
5000,64,4,4,0.27,3.1214e+02
5000,80,4,4,0.27,3.1104e+02
5000,96,4,4,0.26,3.1820e+02
5000,112,4,4,0.26,3.1634e+02
5000,128,4,4,0.29,2.9151e+02
8000,96,4,4,0.88,3.8755e+02
10000,96,4,4,1.58,4.2247e+02
15000,96,4,4,4.81,4.6804e+02
20000,96,4,4,10.65,5.0088e+02
25000,96,4,4,20.11,5.1808e+02
5000,96,5,5,0.22,3.8169e+02
5000,80,5,5,0.22,3.8071e+02
5000,112,5,5,0.22,3.8193e+02
10000,96,5,5,1.21,5.5291e+02
10000,80,5,5,1.28,5.2294e+02
10000,112,5,5,1.18,5.6606e+02
15000,96,5,5,3.71,6.0721e+02
15000,80,5,5,3.75,5.9929e+02
15000,112,5,5,3.47,6.4880e+02
20000,96,5,5,7.86,6.7861e+02
20000,80,5,5,8.31,6.4224e+02
20000,112,5,5,7.55,7.0644e+02
5000,32,1,1,2.14,3.8973e+01
5000,64,1,1,2.07,4.0319e+01
5000,96,1,1,1.93,4.3160e+01
10000,32,1,1,16.59,4.0182e+01
10000,64,1,1,16.23,4.1083e+01
10000,96,1,1,15.16,4.3996e+01
5000,100,4,4,0.51,1.6234e+02
8000,100,4,4,1.64,2.0784e+02
10000,100,4,4,2.96,2.2511e+02
12500,100,4,4,5.65,2.3056e+02
15000,100,4,4,9.36,2.4054e+02
20000,100,4,4,20.59,2.5910e+02
30000,100,4,4,67.07,2.6840e+02
10000,100,1,1,34.93,1.9089e+01
10000,100,2,2,10.06,6.6284e+01
10000,100,3,3,4.85,1.3755e+02
10000,100,4,4,3.06,2.1790e+02
10000,100,5,5,2.35,2.8398e+02
10000,100,4,7,2.12,3.1416e+02
